id,company,role,contact_email,job_description_file,variant_id,status,sent_at,follow_up_at,follow_up_sent_at,replied_at,message_id
job_001,Mikomiko Pte. Ltd.,Gen AI Product Manager,hr@mikomiko.ai,job_001.txt,v1,sent,2026-04-02T17:39:21.917285+00:00,2026-04-05T17:39:30.653274+00:00,,,<1775151566616.jobapplication@gmail.com>
job_002,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Technical Product Manager,apply@snaphunt.com,job_002.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:02:50.212817+00:00,,,<1775185366134.jobapplication@gmail.com>
job_003,EPOS Pte Ltd,EPOS Pte Ltd – AI Product Manager Intern,hr@epos.com.sg,job_003.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:02:58.643245+00:00,,,<1775185374053.jobapplication@gmail.com>
job_004,Mikomiko Pte. Ltd.,Mikomiko Pte. Ltd. – Gen AI Product Manager,hr@mikomiko.ai,job_004.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:05.940761+00:00,,,<1775185382255.jobapplication@gmail.com>
job_005,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Junior Product Manager,apply@snaphunt.com,job_005.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:14.563747+00:00,,,<1775185390485.jobapplication@gmail.com>
job_006,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Youtube Product Manager AI,apply@snaphunt.com,job_006.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:22.330330+00:00,,,<1775185398441.jobapplication@gmail.com>
job_007,Cloudengine Digital Pte. Ltd.,Cloudengine Digital Pte. Ltd. – Product Manager (Server Solutions),hr@cloudengined.com,job_007.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:29.287871+00:00,,,<1775185405623.jobapplication@gmail.com>
job_008,Mikomiko Pte Ltd.,Mikomiko Pte Ltd. – GenAI Product Manager,hr@mikomiko.ai,job_008.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:36.230352+00:00,,,<1775185412532.jobapplication@gmail.com>
job_009,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Compliance Product Manager – Crypto,apply@snaphunt.com,job_009.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:42.914516+00:00,,,<1775185419221.jobapplication@gmail.com>
job_010,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Risk Product Manager – Crypto,apply@snaphunt.com,job_010.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:50.631859+00:00,,,<1775185426752.jobapplication@gmail.com>
job_011,Horizon Labs,Horizon Labs – Product Analyst Intern,hr@horizonlabs.ai,job_011.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:03:59.297905+00:00,,,<1775185434913.jobapplication@gmail.com>
job_012,Univers Pte. Ltd,Univers Pte. Ltd – Product Analyst Intern (Jan 2025),hr@univers.com,job_012.txt,v1,bounced,2026-04-03T03:02:41.845968+00:00,,,BOUNCED - careers@univers.com invalid,<1775185443078.jobapplication@gmail.com>
job_013,Univers Pte. Ltd,Univers Pte. Ltd – Product Analyst Intern,hr@univers.com,job_013.txt,v1,bounced,2026-04-03T03:02:41.845968+00:00,,,BOUNCED - careers@univers.com invalid,<1775185450657.jobapplication@gmail.com>
job_014,Wego,Wego – Product Analyst Intern,careers@wego.com,job_014.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:04:24.144318+00:00,,,<1775185460810.jobapplication@gmail.com>
job_015,Univers Pte Ltd,Univers Pte Ltd – Product Analyst,hr@univers.com,job_015.txt,v1,bounced,2026-04-03T03:02:41.845968+00:00,,,BOUNCED - careers@univers.com invalid,<1775185467822.jobapplication@gmail.com>
job_016,Snaphunt Pte Ltd,Snaphunt Pte Ltd – Product Analyst: IMOS Platform,apply@snaphunt.com,job_016.txt,v1,sent,2026-04-03T03:02:41.845968+00:00,2026-04-06T03:04:40.452163+00:00,,,<1775185476779.jobapplication@gmail.com>
